DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration
HIND,Hindmarsh,185.0,SA,ALP,ALP,0.5654260933412877,0.5842604633241825,0,-0.0188343699828947,-0.0188343699828947,48.95342664192816,11.05338069189968,1636.0788016615988,104565.76,-456.02
KING,Kingston,186.0,SA,ALP,ALP,0.6194134670676181,0.6354550082230401,0,-0.016041541155422,-0.016041541155422,49.73039480778404,11.062471010439005,1568.045824551637,166824.76,326.46000000000004
MAKI,Makin,187.0,SA,ALP,ALP,0.5972222222222222,0.6078618259538457,0,-0.0106396037316235,-0.0106396037316235,48.8456985323774,11.010784901891617,1616.5329919594035,122361.65,-916.04
MAYO,Mayo,188.0,SA,XEN,XEN,0.5513507756753878,0.5292179282605206,0,0.0221328474148672,0.0221328474148672,53.4857730190821,10.83091859961886,1393.4501170308292,22248.71,269.47
SPEN,Spence,325.0,SA,ALP,ALP,0.6412933316277835,0.6716701680672269,0,-0.0303768364394434,-0.0303768364394434,47.68880490198266,10.815494891535106,1441.34661486463,91262.95,259.29
STUR,Sturt,190.0,SA,LP,LP,0.5686946378449312,0.5539328814981711,0,0.0147617563467601,0.0147617563467601,50.66775717724245,11.278261803284526,1848.691547914443,64348.9,-332.88000000000005
BASS,Bass,192.0,TAS,LP,ALP,0.5040955581743849,0.554238683127572,1,-0.050143124953187,0.0583342413019569,53.308021598397374,10.644407099541215,1336.004611262406,18082.63,-89.93
BRAD,Braddon,193.0,TAS,LP,ALP,0.5309333600102897,0.5173236016807455,1,0.0136097583295441,0.0482569616910352,50.96367784949823,10.419796584249472,1295.5941288710214,8146.990000000001,-0.5299999999999994
CLAR,Clark,319.0,TAS,IND,IND,0.7212018796045122,0.6777244790885925,0,0.0434774005159197,0.0434774005159197,49.764893923765634,11.014240046755882,1683.7510007377873,46394.02,-685.23
FRAN,Franklin,195.0,TAS,ALP,ALP,0.6220520630221602,0.6072858589063657,0,0.0147662041157945,0.0147662041157945,52.37277422781595,10.79841431646556,1441.7978992521691,21917.38,217.06
LYON,Lyons,196.0,TAS,ALP,ALP,0.5518277346151697,0.5383377776453588,0,0.0134899569698108,0.0134899569698108,53.33809699276637,10.45914244035966,1291.2864819305826,8592.09,94.99
ASTO,Aston,197.0,VIC,LP,LP,0.6012588670196822,0.5740939375812207,0,0.0271649294384614,0.0271649294384614,48.82323451350461,11.184864157471564,1908.369231305075,162769.0,-2816.0
BALL,Ballarat,198.0,VIC,ALP,ALP,0.6023481043507746,0.5735999574535978,0,0.0287481468971767,0.0287481468971767,50.8005688150178,10.896229945348184,1707.2946374632747,36774.12,512.4300000000001
BEND,Bendigo,200.0,VIC,ALP,ALP,0.588534557637424,0.5387255680915303,0,0.0498089895458937,0.0498089895458937,51.59004484677837,11.018187075747726,1622.2936081361531,82704.95,784.5699999999999
BRUC,Bruce,201.0,VIC,ALP,ALP,0.5728078064109323,0.640473370208974,0,-0.0676655637980416,-0.0676655637980416,46.039989650796656,11.088230221747908,1839.7607493833084,330492.23,-467.6600000000001
CALW,Calwell,203.0,VIC,ALP,ALP,0.6961585668398924,0.697344158172412,0,-0.0011855913325196,-0.0011855913325196,45.68660626765842,10.957282627910017,1756.701604172168,243738.0,209.0
CASE,Casey,204.0,VIC,LP,LP,0.5461968114130381,0.5454126750184229,0,0.0007841363946151,0.0007841363946151,49.19062176466531,11.037505880138704,1875.8829702109908,158429.44,-1873.24
CHIS,Chisholm,205.0,VIC,LP,LP,0.5045125795883044,0.5291247875443271,0,-0.0246122079560227,-0.0246122079560227,47.83301836617569,11.416252871050483,1931.2120324018629,192037.3,-6461.67
COOP,Cooper,320.0,VIC,ALP,ALP,0.6483316674818705,0.512741462082774,0,0.1355902053990965,0.1355902053990965,46.18429848200853,11.245619909302908,1925.0703395534852,159616.5,-4428.58
CORA,Corangamite,328.0,VIC,ALP,ALP,0.5105396668612221,0.5003025355907436,0,0.0102371312704785,0.0102371312704785,50.79576092932668,11.18658426145307,1902.278544973228,107948.75999999998,1864.75
CORI,Corio,208.0,VIC,ALP,ALP,0.6032485418016851,0.5820173920567622,0,0.0212311497449229,0.0212311497449229,49.843520299362574,10.968611640159292,1725.486435831047,269508.0,3818.0
DEAK,Deakin,209.0,VIC,LP,LP,0.546922013897737,0.5643733288943913,0,-0.0174513149966543,-0.0174513149966543,48.79442601713051,11.260669620546338,1919.7526766979936,133275.22,-3004.3900000000003
DUNK,Dunkley,210.0,VIC,ALP,ALP,0.5273887718428554,0.5102590421950708,0,0.0171297296477845,0.0171297296477845,49.363981840374905,11.005446381014636,1734.4027617671447,146154.7,-1544.7
FLIN,Flinders,211.0,VIC,LP,LP,0.5563887284429408,0.5701068943567682,0,-0.0137181659138273,-0.0137181659138273,45.2297903330997,9.795549739644056,1462.6373927925515,120048.85,101.61
FRAS,Fraser,321.0,VIC,ALP,ALP,0.6805317874561478,0.6979021919404724,0,-0.0173704044843245,-0.0173704044843245,45.90015161077319,11.083288900360824,1762.4102666031,167051.84000000003,-5798.24
GELL,Gellibrand,212.0,VIC,ALP,ALP,0.6301622297541873,0.651185352037289,0,-0.0210231222831016,-0.0210231222831016,45.82266310992534,11.196327992657908,1987.9505702398155,200617.16,462.50000000000017
GIPP,Gippsland,213.0,VIC,NP,NP,0.6667080411262127,0.6820830419871474,0,-0.0153750008609346,-0.0153750008609346,53.86950352521116,10.65222469427652,1350.3118818775042,48403.48,632.5899999999999
GOLD,Goldstein,214.0,VIC,LP,LP,0.5779173713457357,0.6267692965576224,0,-0.0488519252118866,-0.0488519252118866,50.79788279246357,11.535180291320234,2266.0177486880866,118956.61,-2359.84
GORT,Gorton,309.0,VIC,ALP,ALP,0.6423565557686054,0.6849180602607228,0,-0.0425615044921173,-0.0425615044921173,45.35164722070149,11.041385559202324,1821.3363912012744,184524.52,1786.4000000000003
HAWK,Hawke,326.0,VIC,ALP,-,0.6021690360227365,0.5,1,0.1021690360227365,0.1021690360227365,48.18842685874014,10.925786823918624,1820.4651316272343,92145.25,1367.27
HIGG,Higgins,215.0,VIC,LP,LP,0.5260824498927557,0.5737818248593063,0,-0.0476993749665506,-0.0476993749665506,46.48944632598765,11.652386153865438,2204.756632609984,132485.66999999998,-4728.570000000001
HOLT,Holt,216.0,VIC,ALP,ALP,0.5863259506306222,0.5994081972023868,0,-0.0130822465717646,-0.0130822465717646,45.85191105803954,11.10469472885855,1891.3265072994311,368861.0,836.0
HOTH,Hotham,217.0,VIC,ALP,ALP,0.6117903232250589,0.5421096884745149,0,0.0696806347505439,0.0696806347505439,48.12010303891038,11.330119930823937,1839.2808051311613,174604.36000000002,-5503.4400000000005
INDI,Indi,218.0,VIC,IND,IND,0.513946393549793,0.5551738575001879,0,-0.0412274639503948,-0.0412274639503948,52.93749170462737,10.538946417113191,1437.8909904669451,13524.04,129.0
ISAA,Isaacs,219.0,VIC,ALP,ALP,0.5645547662316207,0.5298449485167799,0,0.0347098177148408,0.0347098177148408,48.10302471477677,11.098515011370155,1764.3356792670108,163958.86,-4542.86
JAGA,Jagajaga,220.0,VIC,ALP,ALP,0.5589308581827285,0.5560457551081156,0,0.0028851030746128,0.0028851030746128,49.22852167656151,11.319702227226298,2163.744432845684,97023.0,-1855.0
KOOY,Kooyong,221.0,VIC,LP,LP,0.5541612702067443,0.6281913841734406,0,-0.0740301139666962,-0.0740301139666962,48.43349891837335,11.643430767728622,2247.843802463748,176565.80000000002,-6391.2
LTRO,La Trobe,223.0,VIC,LP,LP,0.5513228912476409,0.5322113445532212,0,0.0191115466944197,0.0191115466944197,46.78213260283314,10.966335284814342,1853.494371171368,128682.44,1348.64
LALO,Lalor,222.0,VIC,ALP,ALP,0.6245580506450071,0.6418954512599998,0,-0.0173374006149926,-0.0173374006149926,43.79430218185727,11.246381231338784,1980.005705665587,289571.0,2815.0
MACN,Macnamara,322.0,VIC,ALP,ALP,0.5491439237899073,0.5120540997464075,0,0.0370898240434998,0.0370898240434998,43.3833361445493,11.51783345104613,2009.4172560188235,135310.21000000002,-6976.33
MALL,Mallee,224.0,VIC,NP,NP,0.6567870762819021,0.6979702410656998,0,-0.0411831647837976,-0.0411831647837976,53.64791094699239,10.525994987834135,1369.7961185751085,21100.699999999997,-246.23
MARI,Maribyrnong,225.0,VIC,ALP,ALP,0.6030761011394109,0.6039676947260014,0,-0.0008915935865905,-0.0008915935865905,46.62163468311047,11.12120122580598,1871.860407868205,185248.23,-2562.45
MCEW,McEwen,226.0,VIC,ALP,ALP,0.552776853243966,0.5600114409658082,0,-0.0072345877218422,-0.0072345877218422,48.84835188612921,10.944344707733867,1923.501126271592,78263.55,478.82
MELB,Melbourne,228.0,VIC,GRN,GRN,0.7259506135434025,0.6903669179368892,0,0.0355836956065133,0.0355836956065133,40.432843392653,11.686885490433534,1968.2861202172928,142061.74,-10089.86
MENZ,Menzies,229.0,VIC,LP,LP,0.5701668785916354,0.5781366407487855,0,-0.00796976215715,-0.00796976215715,51.01106526838052,11.32387084308838,1981.452879320944,128583.16,-2187.79
MONA,Monash,323.0,VIC,LP,LP,0.568592276284076,0.575085550281488,0,-0.0064932739974119,-0.0064932739974119,52.89857803575852,10.747649635017796,1518.5539303058104,44374.15,982.13
