DivisionAb,DivisionName,DivisionId,state,WinningParty2022,WinningParty2019,WinningPercent2022,WinningPercent2019,ChangedWinningParty,ChangeInWinningPercent,2022WinningPartyOwnChangeInPercent,avg_age,avg_educ_years,avg_weekly_income,erp,net_migration,electorate,sentiment
OXLE,Oxley,174.0,QLD,ALP,ALP,0.5639450747323884,0.590114780979152,0,-0.0261697062467636,-0.0261697062467636,45.937712081033496,11.21514866693678,1924.9623197213384,868302.1753939639,-3271.382630766162,Oxley,0.3932555555555556
PETR,Petrie,175.0,QLD,LNP,LNP,0.583983779048594,0.5164829243585184,0,0.0675008546900756,0.0675008546900756,48.35640575568797,11.058927408462695,1816.983001136501,680532.4339961706,1373.960073162942,Petrie,0.6474928571428572
RANK,Rankin,176.0,QLD,ALP,ALP,0.5643500188536953,0.6129730868735587,0,-0.0486230680198633,-0.0486230680198633,46.62404615627925,11.060237714939127,1789.160672449597,602665.5647135542,-444.10546011964857,Rankin,0.6982333333333334
RYAN,Ryan,177.0,QLD,LNP,LNP,0.5602534586107482,0.5897768719158979,0,-0.0295234133051497,-0.0295234133051497,45.91006630937049,11.409225306146308,2054.839073021388,1272461.0,-8188.0,Ryan,0.4227083333333334
WBAY,Wide Bay,178.0,QLD,LNP,LNP,0.6314875575251406,0.5818796924875241,0,0.0496078650376164,0.0496078650376164,54.39092900237263,10.528637430169898,1293.567028862602,75681.67705565164,1139.7873852849316,Wide Bay,0.1593735294117647
WRIG,Wright,316.0,QLD,LNP,LNP,0.6457742045348993,0.5961525396861342,0,0.049621664848765,0.049621664848765,50.82503455761247,10.730177483775025,1568.6673579786786,103709.86481101582,780.1475107680928,Wright,0.05244117647058824
ADEL,Adelaide,179.0,SA,ALP,ALP,0.5818381989345126,0.583035312970237,0,-0.0011971140357244,-0.0011971140357244,47.74085841247992,11.270819074184294,1753.7596867973823,73858.01674770299,-487.4474053467237,Adelaide,0.47879320388349517
BARK,Barker,180.0,SA,LP,LP,0.6894459901955218,0.534262418872289,0,0.1551835713232328,0.1551835713232328,52.58705405861383,10.636853569412567,1332.159585169104,7369.776572738898,-9.622426307615608,Barker,0.13687452229299357
BOOT,Boothby,182.0,SA,LP,LP,0.5137777295459273,0.5270611147176111,0,-0.0132833851716838,-0.0132833851716838,50.62401047142057,11.331831786913703,1886.221152668476,72206.0914217478,-245.4896705379246,Boothby,0.1808399267895879
GREY,Grey,183.0,SA,LP,LP,0.6332131429620965,0.5107479429433704,0,0.122465200018726,0.122465200018726,47.72103511559983,10.822951471744211,1129.9669850411217,2872.552389055721,-44.99641183172957,Grey,0.06342128686327077
HIND,Hindmarsh,185.0,SA,ALP,ALP,0.5654260933412877,0.5842604633241825,0,-0.0188343699828947,-0.0188343699828947,48.95721751292721,11.053347231828567,1635.5260898812664,104176.49623473728,-454.4603780684297,Hindmarsh,0.47671666666666673
KING,Kingston,186.0,SA,ALP,ALP,0.6194134670676181,0.6354550082230401,0,-0.016041541155422,-0.016041541155422,49.72709819258783,11.06309189136164,1568.581524921046,166473.92134546707,323.79344555997204,Kingston,0.08215555555555554
MAKI,Makin,187.0,SA,ALP,ALP,0.5972222222222222,0.6078618259538457,0,-0.0106396037316235,-0.0106396037316235,48.84301857637004,11.010409656516911,1616.1522321467523,122414.90324873228,-918.4100936054992,Makin,0.64602
MAYO,Mayo,188.0,SA,XEN,XEN,0.5513507756753878,0.5292179282605206,0,0.0221328474148672,0.0221328474148672,54.02712935826821,10.93909720039631,1405.7155997953328,22445.464735352023,275.9529961366472,Mayo,0.23883006289308184
SPEN,Spence,325.0,SA,ALP,ALP,0.6412933316277835,0.6716701680672269,0,-0.0303768364394434,-0.0303768364394434,47.69865543115255,10.816145190995323,1442.5758402999138,91186.80805128111,253.7330833568616,Spence,0.09432740740740742
STUR,Sturt,190.0,SA,LP,LP,0.5686946378449312,0.5539328814981711,0,0.0147617563467601,0.0147617563467601,50.66762347757653,11.279534513290129,1849.5200301278053,63979.79829359083,-333.052939026396,Sturt,0.24257333333333328
BASS,Bass,192.0,TAS,LP,ALP,0.5040955581743849,0.554238683127572,1,-0.050143124953187,0.0583342413019569,52.77916724076804,10.538361643341071,1322.0779683129465,17877.076375117533,-89.55338896442362,Bass,0.13327270471464023
BRAD,Braddon,193.0,TAS,LP,ALP,0.5309333600102897,0.5173236016807455,1,0.0136097583295441,0.0482569616910352,50.96785566521347,10.4194886337641,1294.52193856702,8008.44690796727,0.9050674836212576,Braddon,0.08518762376237624
CLAR,Clark,319.0,TAS,IND,IND,0.7212018796045122,0.6777244790885925,0,0.0434774005159197,0.0434774005159197,49.77008635023567,11.011142904191686,1682.0180435432285,46376.80243288882,-685.643801323559,Clark,0.262518918918919
FRAN,Franklin,195.0,TAS,ALP,ALP,0.6220520630221602,0.6072858589063657,0,0.0147662041157945,0.0147662041157945,52.37325542264842,10.797909461911482,1441.7131906980203,21959.79766068651,218.0180546170384,Franklin,0.14036036281179143
LYON,Lyons,196.0,TAS,ALP,ALP,0.5518277346151697,0.5383377776453588,0,0.0134899569698108,0.0134899569698108,53.40429608720992,10.45855299374064,1289.6138691962087,8514.045538509718,92.89775653393563,Lyons,0.08764847328244271
ASTO,Aston,197.0,VIC,LP,LP,0.6012588670196822,0.5740939375812207,0,0.0271649294384614,0.0271649294384614,48.82323451350461,11.184864157471564,1908.369231305075,162769.0,-2816.0,Aston,0.22985555555555556
BALL,Ballarat,198.0,VIC,ALP,ALP,0.6023481043507746,0.5735999574535978,0,0.0287481468971767,0.0287481468971767,50.81135890940299,10.89604248619278,1707.4155189765147,36487.690482799706,508.5114030148725,Ballarat,0.09604587332053745
BEND,Bendigo,200.0,VIC,ALP,ALP,0.588534557637424,0.5387255680915303,0,0.0498089895458937,0.0498089895458937,51.09598168963454,10.90932913827457,1604.857111435286,81952.18878241157,774.1605247269844,Bendigo,0.2440960330578513
BRUC,Bruce,201.0,VIC,ALP,ALP,0.5728078064109323,0.640473370208974,0,-0.0676655637980416,-0.0676655637980416,46.0387939694494,11.088280241337378,1840.0274599550269,330714.98033298296,-459.84634491657584,Bruce,-0.3524333333333334
CALW,Calwell,203.0,VIC,ALP,ALP,0.6961585668398924,0.697344158172412,0,-0.0011855913325196,-0.0011855913325196,45.68660626765842,10.957282627910017,1756.701604172168,243738.0,209.0,Calwell,0.19791666666666666
CASE,Casey,204.0,VIC,LP,LP,0.5461968114130381,0.5454126750184229,0,0.0007841363946151,0.0007841363946151,49.21455843063298,11.038283007130213,1876.125040292253,158831.0,-1906.0,Casey,0.13820799999999997
CHIS,Chisholm,205.0,VIC,LP,LP,0.5045125795883044,0.5291247875443271,0,-0.0246122079560227,-0.0246122079560227,47.83057523322138,11.416222167192196,1931.2460031102528,192090.1650317616,-6466.663475739766,Chisholm,0.33864838709677414
